Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	85	Polanui	KAL	MB	GS	KG	OPP	OPP210317	2034	Papalaua Pali	2021-03-17	9:39	2	NBBF	6	2	2					OPP210317	24.2	34.1	6.87	99.0	8.11	21.20	21.70	21.60	21.50	0.012				N	0	0	0	very brown/dark water, medium waves, high wind. Evidence of flow from mountains (small channels going towards ocean)		
yes	yes	yes	no	no	86	Polanui	KAL	MB	KH	KG	PFF	PFF210407	2022	505 Front St	2021-04-07	8:18	1	1	5	1	3					PFF210407	24.2	34.0	6.32	91.3	8.09	1.47	1.52	1.44	1.48	0.027				Y	0	2	0	stream channel shifted about 30' north 		
yes	yes	yes	no	no	86	Polanui	KAL	MB	KH	KG	PLH	PLH210407	2023	Lindsey Hale	2021-04-07	8:43	1	1	5	1	3					PLH210407	24.0	34.4	6.27	90.5	8.13	3.20	2.93	4.31	3.48	0.210				N	1	1	0	3.48 was the 4th turbidity reading		
yes	yes	yes	no	no	86	Polanui	KAL	MB	KH	KG	PLT	PLT210407	2024	Lahaina Town	2021-04-07	9:02	1	1	5	1	3					PLT210407	23.9	34.1	6.36	91.7	8.12	4.07	4.33	4.65	4.35	0.067				N	0	1	0	*couldn't get the blank below 0.12, medium vial was dropped on ground		
yes	yes	yes	no	no	86	Polanui	KAL	MB	KH	KG	OCO	OCO210407	2028	Camp Olowalu	2021-04-07	9:33	1	1	5	1	3					OCO210407	23.5	34.8	6.60	94.7	8.12	1.10	1.14	1.07	1.10	0.032				N	2	5	0			
yes	yes	yes	no	no	86	Polanui	KAL	MB	KH	KG	OPP	OPP210407	2034	Papalaua Pali	2021-04-07	9:52	1	1	5	1	3					OPP210407	24.2	34.7	6.95	100.8	8.20	2.38	2.36	2.68	2.47	0.072				N	4	2	0			
yes	yes	yes	no	no	87	Polanui	KAL	KH	GS	KG	PFF	PFF210428	2022	505 Front St	2021-04-28	8:15	2	NBBF	6	2	2					PFF210428	24.8	34.5	6.21	90.8	8.05	2.31	2.24	2.26	2.27	0.016				Y	0	7	0			
yes	yes	yes	no	no	87	Polanui	KAL	KH	GS	KG	PLH	PLH210428	2023	Lindsey Hale	2021-04-28	8:38	2	NBBF	6	2	2					PLH210428	25.2	34.6	5.64	83.0	8.03	3.56	3.08	3.41	3.35	0.073				N	0	1	0			
yes	yes	yes	no	no	87	Polanui	KAL	KH	GS	KG	PLT	PLT210428	2024	Lahaina Town	2021-04-28	8:56	2	NBBF	6	2	2					PLT210428	25.5	34.6	5.84	86.6	8.02	7.77	7.55	7.46	7.59	0.021				N	1	1	0	water calm & clear, very low tide & rocks exposed		
yes	yes	yes	no	no	87	Polanui	KAL	KH	GS	KG	OCO	OCO210428	2028	Camp Olowalu	2021-04-28	9:23	2	NBBF	6	2	2					OCO210428	26.4	34.5	6.52	98.1	8.04	3.75	3.78	4.05	3.86	0.043				N	0	0	0			
yes	yes	yes	no	no	87	Polanui	KAL	KH	GS	KG	OPP	OPP210428	2034	Papalaua Pali	2021-04-28	9:41	2	NBBF	6	2	2					OPP210428	26.1	35.2	6.76	101.4	8.12	3.51	2.93	3.39	3.28	0.093				N	0	0	0			
yes	yes	yes	no	no	88	Polanui	KAL	KG	MB		PFF	PFF210519	2022	505 Front St	2021-05-19	8:12	1	1	5	1	3					PFF210519	24.4	33.5	6.06	87.6	8.03	2.18	1.82	1.88	1.96	0.098				Y	1	0	0	garage water outflow flowing in S shape (most likely shaped by humans)		
yes	yes	yes	no	no	88	Polanui	KAL	KG	MB		PLH	PLH210519	2023	Lindsey Hale	2021-05-19	8:37	1	1	5	1	3					PLH210519	24.6	34.4	5.71	83.1	8.05	4.08	3.96	3.98	4.01	0.016				N	0	0	0	little to no waves		
yes	yes	yes	no	no	88	Polanui	KAL	KG	MB		PLT	PLT210519	2024	Lahaina Town	2021-05-19	8:56	1	1	5	1	3					PLT210519	24.8	34.1	5.62	82.1	8.05	2.35	2.38	2.29	2.34	0.020				N	0	0	0	kayakers further offshore (2 kayaks, ~6 people)		
yes	yes	yes	no	no	88	Polanui	KAL	KG	MB		OCO	OCO210519	2028	Camp Olowalu	2021-05-19	9:26	1	1	5	1	3					OCO210519	25.4	34.9	6.35	94.3	8.08	1.82	1.86	1.88	1.85	0.016				N	0	0	0	Water very still		
yes	yes	yes	no	no	88	Polanui	KAL	KG	MB		OPP	OPP210519	2034	Papalaua Pali	2021-05-19	9:47	1	1	5	1	3					OPP210519	24.8	34.5	6.66	97.6	8.10	3.32	3.31	3.16	3.26	0.027				N	0	0	0			
yes	yes	yes	no	no	89	Polanui	KAL	KG	MB	NS	PFF	PFF210609	2022	505 Front St	2021-06-09	8:16	2	NBBF	6	1	2					PFF210609	25.9	34.6	5.71	84.9	8.02	2.10	2.08	1.85	2.01	0.069				Y	0	3	0	flat water, calm, low tide, no people in water		
yes	yes	yes	no	no	89	Polanui	KAL	KG	MB	NS	PLH	PLH210609	2023	Lindsey Hale	2021-06-09	8:38	2	NBBF	6	1	2					PLH210609	26.5	34.7	5.10	76.7	8.03	1.29	1.25	1.49	1.34	0.096				N	2	1	0	calm, flat water, low tide, no people		
yes	yes	yes	no	no	89	Polanui	KAL	KG	MB	NS	PLT	PLT210609	2024	Lahaina Town	2021-06-09	9:00	2	NBBF	6	1	2					PLT210609	27.0	34.1	5.37	81.1	8.02	6.35	5.55	5.91	5.94	0.067				N	6	3	0	low tide, 2 dogs playing in water, 2 snorkelers, no wind		
yes	yes	yes	no	no	89	Polanui	KAL	KG	MB	NS	OCO	OCO210609	2028	Camp Olowalu	2021-06-09	9:29	2	NBBF	6	1	2					OCO210609	26.1	35.0	6.24	93.2	8.03	1.33	1.30	1.23	1.29	0.040				N	0	0	0	calm waters, low tide		
yes	yes	yes	no	no	89	Polanui	KAL	KG	MB	NS	OPP	OPP210609	2034	Papalaua Pali	2021-06-09	9:49	2	NBBF	6	1	2					OPP210609	25.7	34.7	6.78	100.5	8.10	3.66	3.58	3.69	3.64	0.016				N	0	0	1	small swell, light wind		
yes	yes	yes	no	no	90	Polanui	KAL	KG	YM	KH	PFF	PFF210630	2022	505 Front St	2021-06-30	8:14	1	1	5	1	3					PFF210630	26.2	33.5	5.92	88.4	8.03	5.47	5.92	5.83	5.74	0.041				Y	0	10	0			
yes	yes	yes	no	no	90	Polanui	KAL	KG	YM	KH	PLH	PLH210630	2023	Lindsey Hale	2021-06-30	8:40	1	1	5	1	3					PLH210630	26.8	35.1	6.21	94.4	8.07	6.04	6.08	5.86	5.99	0.020				N	0	4	0			
yes	yes	yes	no	no	90	Polanui	KAL	KG	YM	KH	PLT	PLT210630	2024	Lahaina Town	2021-06-30	8:57	1	1	5	1	3					PLT210630	27.2	34.5	5.67	86.5	8.06	30.30	31.50	27.90	29.90	0.061				N	1	1	0	very silty inshore, high surf past reef		
yes	yes	yes	no	no	90	Polanui	KAL	KG	YM	KH	OCO	OCO210630	2028	Camp Olowalu	2021-06-30	9:30	1	1	5	1	3					OCO210630	27.7	35.2	6.25	96.5	8.06	4.86	5.10	4.91	4.96	0.026				N	0	0	0			
yes	yes	yes	no	no	90	Polanui	KAL	KG	YM	KH	OPP	OPP210630	2034	Papalaua Pali	2021-06-30	9:48	1	1	5	1	3					OPP210630	28.3	35.4	6.34	99.1	8.10	5.59	5.70	6.21	5.83	0.057				N	0	1	0			
yes	yes	yes	no	no	91	Polanui	KAL	KG	YM	KH	PFF	PFF210721	2022	505 Front St	2021-07-21	8:17	2	NBBF	6	1	4					PFF210721	26.7	34.9	5.44	82.3	8.05	1.03	1.06	1.11	1.07	0.038				Y	3	2	0	6 kayaks, 3 paddleboards ** switched to DO probe #1		
yes	yes	yes	no	no	91	Polanui	KAL	KG	YM	KH	PLH	PLH210721	2023	Lindsey Hale	2021-07-21	8:44	2	NBBF	6	1	4					PLH210721	26.9	35.0	5.80	88.0	8.04	1.34	1.56	1.48	1.46	0.076				N	0	0	0			
yes	yes	yes	no	no	91	Polanui	KAL	KG	YM	KH	PLT	PLT210721	2024	Lahaina Town	2021-07-21	9:06	2	NBBF	6	1	4					PLT210721	27.0	35.2	5.99	91.2	8.03	1.14	1.07	1.12	1.11	0.032				N	0	0	0			
yes	yes	yes	no	no	91	Polanui	KAL	KG	YM	KH	OCO	OCO210721	2028	Camp Olowalu	2021-07-21	9:35	2	NBBF	6	1	4					OCO210721	26.6	34.9	6.19	93.4	8.09	2.40	2.24	2.39	2.34	0.038				N	4	2	0			
yes	yes	yes	no	no	91	Polanui	KAL	KG	YM	KH	OPP	OPP210721	2034	Papalaua Pali	2021-07-21	9:57	2	NBBF	6	1	4					OPP210721	26.5	35.0	6.53	98.5	8.19	5.48	5.86	5.68	5.67	0.034				N	0	0	0			
yes	yes	yes	no	no	92	Polanui	KAL	KG	KH		PFF	PFF210811	2022	505 Front St	2021-08-11	8:15	2	1	5	4	4					PFF210811	26.7	35.4	6.22	94.5	8.06	3.51	3.64	3.55	3.57	0.019				Y	0	3	0	stream flowing straight  **volunteers used meter probe set #2 accidentally, but didn't seem to have an issue with pH probe #5. They also used the new DO probe that was verified but not callibrated. Probe was callibrated post-lab on 8/12/21		
yes	yes	yes	no	no	92	Polanui	KAL	KG	KH		PLH	PLH210811	2023	Lindsey Hale	2021-08-11	8:40	2	1	5	4	4					PLH210811	27.0	35.3	6.30	96.4	8.06	7.02	7.08	7.29	7.13	0.020				N	0	5	0			
yes	yes	yes	no	no	92	Polanui	KAL	KG	KH		PLT	PLT210811	2024	Lahaina Town	2021-08-11	8:58	2	1	5	4	4					PLT210811	27.1	35.5	6.38	98.1	8.07	2.92	3.05	3.13	3.03	0.035				N	1dog	1	0			
yes	yes	yes	no	no	92	Polanui	KAL	KG	KH		OCO	OCO210811	2028	Camp Olowalu	2021-08-11	9:27	2	1	5	4	4					OCO210811	27.9	35.7	6.20	96.4	8.02	5.18	4.84	4.28	4.77	0.095				N	0	0	0			
yes	yes	yes	no	no	92	Polanui	KAL	KG	KH		OPP	OPP210811	2034	Papalaua Pali	2021-08-11	9:47	2	1	5	4	4					OPP210811	27.6	35.5	6.42	99.4	8.10	6.26	6.49	6.42	6.39	0.018				N 	7	0	0			
yes	yes	yes	no	no	93	Polanui	KAL	KG	KH	YM	PFF	PFF210901	2022	505 Front St	2021-09-01	8:18	2	NBBF	6	4	4					PFF210901	26.8	34.7	5.96	90.7	8.04	1.62	1.97	1.74	1.78	0.100				Y	2kayak	3	0	stream clear. unusual erosion pattern see picture from kristy **no film on pH probe		
yes	yes	yes	no	no	93	Polanui	KAL	KG	KH	YM	PLH	PLH210901	2023	Lindsey Hale	2021-09-01	8:41	2	NBBF	6	4	4					PLH210901	26.8	35.4	5.96	91.1	8.07	4.10	4.38	3.72	4.07	0.081				N	0	0	0			
yes	yes	yes	no	no	93	Polanui	KAL	KG	KH	YM	PLT	PLT210901	2024	Lahaina Town	2021-09-01	8:59	2	NBBF	6	4	4					PLT210901	27.1	35.2	5.90	90.5	8.06	3.11	3.09	2.88	3.03	0.042				N	0	5	0			
yes	yes	yes	no	no	93	Polanui	KAL	KG	KH	YM	OCO	OCO210901	2028	Camp Olowalu	2021-09-01	9:27	2	NBBF	6	4	4					OCO210901	28.6	35.7	6.33	99.8	8.07	1.97	1.88	1.84	1.90	0.035				N	0	0	0			
yes	yes	yes	no	no	93	Polanui	KAL	KG	KH	YM	OPP	OPP210901	2034	Papalaua Pali	2021-09-01	9:48	2	NBBF	6	4	4					OPP210901	27.9	35.6	6.63	103.4	8.13	10.20	10.50	11.10	10.60	0.043				N	5	1	0	shore break was right at sampling location 		
yes	yes	yes	no	no	94	Polanui	KAL	MB	KG		PFF	PFF210922	2022	505 Front St	2021-09-22	8:10	1	1	6	1	3					PFF210922	25.6	35.1	6.08	90.6	8.11	13.70	13.10	13.70	13.50	0.026				Y	2	3	0	murky, stream trickling ** had to use spare turbidity vial. 		
yes	yes	yes	no	no	94	Polanui	KAL	MB	KG		PLH	PLH210922	2023	Lindsey Hale	2021-09-22	8:32	1	1	6	1	3					PLH210922	25.9	34.7	5.99	89.7	8.12	14.30	14.50	15.60	14.80	0.047				N	0	1+2 dogs	0			
yes	yes	yes	no	no	94	Polanui	KAL	MB	KG		PLT	PLT210922	2024	Lahaina Town	2021-09-22	8:52	1	1	6	1	3					PLT210922	26.2	34.9	6.23	93.9	8.11	5.90	5.19	5.05	5.38	0.085				N	0	1+2 dogs	0			
yes	yes	yes	no	no	94	Polanui	KAL	MB	KG		OCO	OCO210922	2028	Camp Olowalu	2021-09-22	9:21	1	1	6	1	3					OCO210922	25.0	35.6	6.25	92.5	8.11	2.51	2.93	2.53	2.66	0.089				N	0	0	0			
yes	yes	yes	no	no	94	Polanui	KAL	MB	KG		OPP	OPP210922	2034	Papalaua Pali	2021-09-22	9:41	1	1	6	1	3					OPP210922	25.6	35.5	6.62	99.0	8.21	4.70	4.44	4.61	4.58	0.029				N	0	2	0	dad + son fishing. slow floating matter in turbidity sample 		
yes	yes	yes	no	no	95	Polanui	KAL	NS	YM		PFF	PFF211013	2022	505 Front St	2021-10-13	8:15	2	NBBF	6	4	4					PFF211013	26.9	35.5	6.11	94.0	8.11	4.99	5.01	4.79	4.93	0.025				Y	0	3	0	stream light flow, hbigh tide, 3 people playing on beach		
yes	yes	yes	no	no	95	Polanui	KAL	NS	YM		PLH	PLH211013	2023	Lindsey Hale	2021-10-13	8:45	2	NBBF	6	4	4					PLH211013	27.2	35.5	6.24	96.8	8.11	9.83	9.91	9.73	9.82	0.009				N	0	0	0	very high tide, swell		
yes	yes	yes	no	no	95	Polanui	KAL	NS	YM		PLT	PLT211013	2024	Lahaina Town	2021-10-13	9:00	2	NBBF	6	4	4					PLT211013	27.2	35.0	5.71	88.2	8.08	19.40	20.20	21.70	20.43	0.057				N	0	0	0	very high tide, swell		
yes	yes	yes	no	no	95	Polanui	KAL	NS	YM		OCO	OCO211013	2028	Camp Olowalu	2021-10-13	9:33	2	NBBF	6	4	4					OCO211013	26.1	35.6	6.42	97.6	8.14	3.67	3.79	3.77	3.74	0.017				N	2	0	0	2 in water- snorkelers further out, strong shore break		
yes	yes	yes	no	no	95	Polanui	KAL	NS	YM		OPP	OPP211013	2034	Papalaua Pali	2021-10-13	9:47	2	NBBF	6	4	4					OPP211013	26.6	35.8	6.66	102.2	8.22	3.01	2.87	2.80	2.89	0.037				N	0	0	0	crashing shore waves with 6 sec between & very windy		
yes	yes	yes	no	no	96	Polanui	KAL	YM	KH		PFF	PFF211103	2022	505 Front St	2021-11-03	8:15	1	1	6	4	3					PFF211103	26.2	34.4	6.18	93.4	8.07	0.85	0.84	0.82	0.84	0.018				Y	0	0	0	Kit put pH probe in by mistake on 1st read; took 4th reading on turbidity (see data sheet); no tape on KCl; KCl tipped as some point so they added some		
yes	yes	yes	no	no	96	Polanui	KAL	YM	KH		PLH	PLH211103	2023	Lindsey Hale	2021-11-03	8:42	1	1	6	4	3					PLH211103	26.4	35.0	6.02	91.7	8.12	3.56	3.10	2.90	3.19	0.106				N	0	0	0			
yes	yes	yes	no	no	96	Polanui	KAL	YM	KH		PLT	PLT211103	2024	Lahaina Town	2021-11-03	9:01	1	1	6	4	3					PLT211103	26.5	35.1	6.17	94.1	8.13	2.23	2.51	2.84	2.53	0.121				N	0	1	0	2 monk seals south of 1st reef		
yes	yes	yes	no	no	96	Polanui	KAL	YM	KH		OCO	OCO211103	2028	Camp Olowalu	2021-11-03	9:36	1	1	6	4	3					OCO211103	28.8	35.3	6.23	97.2	8.10	0.98	0.96	0.98	0.97	0.012				N	2	2	0			
yes	yes	yes	no	no	96	Polanui	KAL	YM	KH		OPP	OPP211103	2034	Papalaua Pali	2021-11-03	9:54	1	1	6	4	3					OPP211103	27.6	35.4	6.59	102.5	8.16	2.96	3.15	3.06	3.06	0.031				N	0	0	0			
yes	yes	yes	no	no	97	Polanui	KAL	KH	KG	TH	PFF	PFF211201	2022	505 Front St	2021-12-01	8:11	2	NBBF	6	4	4					PFF211201	25.7	35.3	5.84	87.6	8.06	2.97	2.33	2.66	2.65	0.121				Y	0	2	0	stream flowing straight down (heavier than normal), Nalei took picture		
yes	yes	yes	no	no	97	Polanui	KAL	KH	KG	TH	PLH	PLH211201	2023	Lindsey Hale	2021-12-01	8:39	2	NBBF	6	4	4					PLH211201	25.6	34.8	5.41	80.8	8.06	13.10	15.30	14.40	14.27	0.078				N	0	1	0	area around drain pipe looks like it was dug out recently, 4th turbidity 14.4		
yes	yes	yes	no	no	97	Polanui	KAL	KH	KG	TH	PLT	PLT211201	2024	Lahaina Town	2021-12-01	9:00	2	NBBF	6	4	4					PLT211201	25.8	35.0	5.49	82.4	8.07	6.71	5.65	5.29	5.88	0.125				N	0	1	0	1 dog, lots of limu at water line, sand is back. very calm		
yes	yes	yes	no	no	97	Polanui	KAL	KH	KG	TH	OCO	OCO211201	2028	Camp Olowalu	2021-12-01	9:27	2	NBBF	6	4	4					OCO211201	25.8	35.5	6.35	95.5	8.10	1.44	1.23	1.46	1.38	0.093				N	0	0	0	very calm, slight breeze		
yes	yes	yes	no	no	97	Polanui	KAL	KH	KG	TH	OPP	OPP211201	2034	Papalaua Pali	2021-12-01	9:45	2	NBBF	6	4	4					OPP211201	25.9	35.8	7.06	106.6	8.20	6.45	6.06	5.79	6.10	0.054				N	0	0	0	slight shorebreak, looks mirky,  4th turbidity 5.56		
yes	yes	yes	no	no	98	Polanui	KAL	KH	KG	TH	PFF	PFF211229	2022	505 Front St	2021-12-29	8:10	1	1	7	4	3					PFF211229	23.9	33.2	6.50	93.8	7.97	2.79	2.71	2.41	2.64	0.076				Y				several surf/kayakers, walkers (Kristy submitting streamflow photos for PFF and PLH)		
yes	yes	yes	no	no	98	Polanui	KAL	KH	KG	TH	PLH	PLH211229	2023	Lindsey Hale	2021-12-29	8:34	1	1	7	4	3					PLH211229	23.8	35.1	6.42	93.5	8.02	4.07	4.59	4.06	4.24	0.071				N				not too many people, lots of tree debris		
yes	yes	yes	no	no	98	Polanui	KAL	KH	KG	TH	PLT	PLT211229	2024	Lahaina Town	2021-12-29	8:55	1	1	7	4	3					PLT211229	23.9	35.2	6.38	93.1	8.03	4.13	4.54	4.63	4.43	0.060				N	2	5	0	2 surfers in water left of site, 5 people on beach, lots of tree debree, 4th turbidity reading 4.63		
yes	yes	yes	no	no	98	Polanui	KAL	KH	KG	TH	OCO	OCO211229	2028	Camp Olowalu	2021-12-29	9:25	1	1	7	4	3					OCO211229	23.6	35.3	6.53	94.7	8.05	2.98	2.76	2.83	2.86	0.039				N	4	8	0	8 beach goers, 4 snorkelers, 4th turbidity 2.83		
yes	yes	yes	no	no	98	Polanui	KAL	KH	KG	TH	OPP	OPP211229	2034	Papalaua Pali	2021-12-29	9:46	1	1	7	4	3					OPP211229	24.0	35.3	6.83	99.7	8.07	7.20	7.16	7.02	7.13	0.013				N				2 people, 1 dog, strong waves. *Tabetha was data recording and didnt realize she was was supposed to put the #s in the right columns,  Meredith filled in what she could		
yes	yes	yes	no	no	99	Polanui	KAL	TG	KH	KG	PFF	PFF220119	2022	505 Front St	2022-01-19	8:13	2	NBBF	6	4	4					PFF220119	24.1	34.9	5.76	83.6	8.09	4.27	4.16	4.19	4.21	0.014				Y	0	5	0	steady moderate flow *pre sampling: blank 0.11 on 1st read, 0.13 on 2nd read, cleanded with oil and cloth		
yes	yes	yes	no	no	99	Polanui	KAL	TG	KH	KG	PLH	PLH220119	2023	Lindsey Hale	2022-01-19	8:38	2	NBBF	6	4	4					PLH220119	24.4	35.2	5.56	81.2	8.08	8.62	8.30	8.54	8.49	0.020				N	0	0	0	*kristy is submitting photos		
yes	yes	yes	no	no	99	Polanui	KAL	TG	KH	KG	PLT	PLT220119	2024	Lahaina Town	2022-01-19	8:54	2	NBBF	6	4	4					PLT220119	24.8	35.0	5.37	79.1	8.07	7.54	6.88	6.98	7.13	0.050				N	0	0	0			
yes	yes	yes	no	no	99	Polanui	KAL	TG	KH	KG	OCO	OCO220119	2028	Camp Olowalu	2022-01-19	9:21	2	NBBF	6	4	4					OCO220119	25.7	35.7	6.32	94.6	8.17	1.34	1.30	1.47	1.37	0.065				N	0	0	0			
yes	yes	yes	no	no	99	Polanui	KAL	TG	KH	KG	OPP	OPP220119	2034	Papalaua Pali	2022-01-19	9:40	2	NBBF	6	4	4					OPP220119	25.6	35.8	6.79	101.6	8.17	5.87	5.81	5.41	5.70	0.044				N	0	2	0			
yes	yes	yes	no	no	100	Polanui	KAL	KG	KH	TG	PFF	PFF220209	2022	505 Front St	2022-02-09	8:17	1	NBBF	7	1	3					PFF220209	24.0	35.3	5.99	86.8	8.07	2.97	3.13	2.76	2.95	0.063				Y	0	0	0	*using NBBF since #1 is having problems		
yes	yes	yes	no	no	100	Polanui	KAL	KG	KH	TG	PLH	PLH220209	2023	Lindsey Hale	2022-02-09	8:44	1	NBBF	7	1	3					PLH220209	24.1	35.2	5.86	85.1	8.09	6.00	6.55	5.39	5.98	0.097				N	0	6	0	very unusual turbidity 		
yes	yes	yes	no	no	100	Polanui	KAL	KG	KH	TG	PLT	PLT220209	2024	Lahaina Town	2022-02-09	9:07	1	NBBF	7	1	3					PLT220209	24.4	35.3	5.91	86.4	8.07	3.89	3.92	3.77	3.86	0.021				N	1	1	0	a diver walked across our site so we waited 5+ minutes before taking samples		
yes	yes	no	no	no	100	Polanui	KAL	KG	KH	TG	OCO	OCO220209	2028	Camp Olowalu	2022-02-09											OCO220209																		*had to stop sampling after PLT-accident on. the apli and traffic backed up to Launiupoko		
yes	yes	no	no	no	100	Polanui	KAL	KG	KH	TG	OPP	OPP220209	2034	Papalaua Pali	2022-02-09											OPP220209																				
yes	yes	yes	no	no	101	Polanui	KAL	TG	KH	KG	PFF	PFF220302	2022	505 Front St	2022-03-02	8:13	2	NBBF	6	4	4					PFF220302	24.5	35.6	6.04	88.6	8.13	3.46	2.76	3.35	3.19	0.118				Y	0	2	0			
yes	yes	yes	no	no	101	Polanui	KAL	TG	KH	KG	PLH	PLH220302	2023	Lindsey Hale	2022-03-02	8:39	2	NBBF	6	4	4					PLH220302	24.5	35.7	5.83	85.7	8.13	9.51	10.10	8.31	9.31	0.098				N	0	1	0			
yes	yes	yes	no	no	101	Polanui	KAL	TG	KH	KG	PLT	PLT220302	2024	Lahaina Town	2022-03-02	8:58	2	NBBF	6	4	4					PLT220302	24.8	35.0	5.88	86.6	8.10	12.40	11.90	12.10	12.13	0.021				N	0	0	0			
yes	yes	yes	no	no	101	Polanui	KAL	TG	KH	KG	OCO	OCO220302	2028	Camp Olowalu	2022-03-02	9:26	2	NBBF	6	4	4					OCO220302	26.3	35.7	6.41	97.0	8.12	3.14	3.12	3.35	3.20	0.040				N	0	0	0			
yes	yes	yes	no	no	101	Polanui	KAL	TG	KH	KG	OPP	OPP220302	2034	Papalaua Pali	2022-03-02	9:47	2	NBBF	6	4	4					OPP220302	26.0	36.0	6.90	104.2	8.17	10.70	10.70	9.68	10.36	0.057				N	0	0	0	strong shore break		
yes	yes	yes	no	no	102	Polanui	KAL	KH	KG	KC	PFF	PFF220323	2022	505 Front St	2022-03-23	8:15	1	1	7	1	3					PFF220323	25.0	33.8	6.19	90.5	8.01	9.59	9.62	9.28	9.50	0.020				Y	0	0	0	big rain event in Lahaina on 3/21; also, the shore dropped off as a result of a shore break		
yes	yes	yes	no	no	102	Polanui	KAL	KH	KG	KC	PLH	PLH220323	2023	Lindsey Hale	2022-03-23	8:47	1	1	7	1	3					PLH220323	25.4	35.4	5.83	86.7	8.05	7.35	6.28	6.85	6.83	0.078				N	0	3	0			
yes	yes	yes	no	no	102	Polanui	KAL	KH	KG	KC	PLT	PLT220323	2024	Lahaina Town	2022-03-23	9:16	1	1	7	1	3					PLT220323	26.1	35.3	6.53	95.5	8.09	10.40	10.90	11.30	10.87	0.041				N	0	0	0	very silty right at water edge, kayak group further out at channel marker, some people snorkeling 		
yes	yes	yes	no	no	102	Polanui	KAL	KH	KG	KC	OCO	OCO220323	2028	Camp Olowalu	2022-03-23	9:47	1	1	7	1	3					OCO220323	25.4	35.6	6.50	96.9	8.09	4.24	5.16	4.89	4.76	0.099				N	0	5	0			
yes	yes	yes	no	no	102	Polanui	KAL	KH	KG	KC	OPP	OPP220323	2034	Papalaua Pali	2022-03-23	10:11	1	1	7	1	3					OPP220323	25.0	35.6	6.98	103.3	8.16	14.10	12.40	12.50	13.00	0.073				N	0	0	0	windy, shallow sample for safety		
yes	yes	yes	no	no	103	Polanui	KAL	KH	KG	TG	PFF	PFF220413	2022	505 Front St	2022-04-13	8:09	1	NBBF	6	4	4					PFF220413	25.5	34.8	6.25	92.9	8.04	6.93	6.58	6.80	6.77	0.026				Y	0	0	0			
yes	yes	yes	no	no	103	Polanui	KAL	KH	KG	TG	PLH	PLH220413	2023	Lindsey Hale	2022-04-13	8:32	1	NBBF	6	4	4					PLH220413	25.6	35.4	6.27	93.5	8.04	1.96	2.07	2.08	2.04	0.033				N	1	5	0		**perfect day!	
yes	yes	yes	no	no	103	Polanui	KAL	KH	KG	TG	PLT	PLT220413	2024	Lahaina Town	2022-04-13	8:49	1	NBBF	6	4	4					PLT220413	25.8	35.9	6.56	98.7	8.06	1.71	1.55	1.57	1.61	0.054				N	1	2	0	4th turbidty taken		
yes	yes	yes	no	no	103	Polanui	KAL	KH	KG	TG	OCO	OCO220413	2028	Camp Olowalu	2022-04-13	9:19	1	NBBF	6	4	4					OCO220413	26.2	35.7	6.37	96.3	8.05	2.43	3.07	2.67	2.72	0.119				N	0	0	0			
yes	yes	yes	no	no	103	Polanui	KAL	KH	KG	TG	OPP	OPP220413	2034	Papalaua Pali	2022-04-13	9:42	1	NBBF	6	4	4					OPP220413	26.4	36.0	6.81	103.4	8.11	6.66	6.39	6.30	6.45	0.029				N	0	3	0			
yes	yes	yes	no	no	104	Polanui	KAL	KH	KG	KC	PFF	PFF220504	2022	505 Front St	2022-05-04	8:16	1	1	7	1	3					PFF220504	24.7	35.3	6.67	97.8	8.10	9.28	8.66	9.13	9.02	0.036				Y	0	0	0	monk seal swam by just prior to sampling!		** please continue to include extra filters
yes	yes	yes	no	no	104	Polanui	KAL	KH	KG	KC	PLH	PLH220504	2023	Lindsey Hale	2022-05-04	8:41	1	1	7	1	3					PLH220504	24.9	35.2	6.52	95.7	8.10	3.78	3.99	3.94	3.90	0.028				N	0	1	0	4th turbidity read taken		
yes	yes	yes	no	no	104	Polanui	KAL	KH	KG	KC	PLT	PLT220504	2024	Lahaina Town	2022-05-04	9:01	1	1	7	1	3					PLT220504	25.0	35.1	6.47	95.2	8.10	2.57	2.37	2.55	2.50	0.044				N	1	1	0	5 surfers walked out along our sample area, 2-3 minutes prior to sampling		
yes	yes	yes	no	no	104	Polanui	KAL	KH	KG	KC	OCO	OCO220504	2028	Camp Olowalu	2022-05-04	9:31	1	1	7	1	3					OCO220504	24.2	35.2	6.83	99.3	8.05	13.40	14.10	13.30	13.60	0.032				N	0	0	0	syringe filter was blocked. swapped filter out and finished plunging		
yes	yes	yes	no	no	104	Polanui	KAL	KH	KG	KC	OPP	OPP220504	2034	Papalaua Pali	2022-05-04	9:54	1	1	7	1	3					OPP220504	25.7	35.6	6.99	104.2	8.17	5.31	6.25	5.65	5.74	0.083				N	1	1	1	acid was bottle tipped over in sand prior to sample plunging in (bottle was empty). wiped outside and then plunged sample. 4th turbidity taken		
