Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
yes	yes	yes	no	no	94	R2RN	KAL	LH	CH	NS	RKO	RKO210923	2008	Ka'opala Bay	2021-09-23	9:27	1	1	6	1	3					RKO210923	25.5	34.6	6.22	92.6	8.11	8.10	7.63	8.23	7.99	0.040				N	0	0	0	clear sky, light breeze, pretty calm, small waves rolling in, slightly bigger break further out 	
yes	yes	yes	no	no	94	R2RN	KAL	LH	CH	NS	RKV	RKV210923	2074	Kahana Village	2021-09-23	9:45	1	1	6	1	3					RKV210923	25.8	34.6	6.07	90.7	8.09	14.70	15.80	16.00	15.50	0.045				N	1	0	0	2 people further down beach, 1 snorkeler in water, low tide, calm, small wave break on reef further out	
yes	yes	yes	no	no	95	R2RN	KAL	LH	NS		RHL	RHL211014	2001	Honolua Bay	2021-10-14	7:50	2	NBBF	6	4	4					RHL211014	25.5	34.8	6.02	90.1	8.18	0.69	0.85	0.79	0.78	0.104				N	0	4	0	calm, flat, no wind	
yes	yes	yes	no	no	95	R2RN	KAL	LH	NS		RON	RON211014	2004	Oneloa Bay	2021-10-14	8:25	2	NBBF	6	4	4					RON211014	25.8	35.5	6.72	101.8	8.22	1.20	1.29	1.17	1.22	0.051				N	0	4	0	windy, rough shore break, 1 dog running around in and out of water	
yes	yes	yes	no	no	95	R2RN	KAL	LH	NS		RFS	RFS211014	2005	Kapalua Bay	2021-10-14	8:49	2	NBBF	6	4	4					RFS211014	25.8	34.5	6.52	98.1	8.13	1.94	1.89	2.01	1.95	0.031				N	4	15	0	calmer, little wind	
yes	yes	yes	no	no	95	R2RN	KAL	LH	NS		RKO	RKO211014	2008	Ka'opala Bay	2021-10-14	9:17	2	NBBF	6	4	4					RKO211014	26.0	35.1	6.28	95.0	8.14	9.04	9.09	9.44	9.19	0.024				N	0	0	0	calm, turbid	
yes	yes	yes	no	no	95	R2RN	KAL	LH	NS		RKV	RKV211014	2074	Kahana Village	2021-10-14	9:35	2	NBBF	6	4	4					RKV211014	25.4	34.8	6.88	102.9	8.13	12.00	12.60	11.70	12.10	0.038				N	0	2	0	calm, turbid	
yes	yes	yes	no	no	96	R2RN	KAL	LH	MB		RHL	RHL211104	2001	Honolua Bay	2021-11-04	8:00	1	1	6	4	3					RHL211104	24.9	34.7	6.59	98.0	8.16	17.20	15.80	16.90	16.63	0.044				N	0	7	0	rain sprinkles and high surf on outer break; salinity 2nd reading: 36.2; pH 2nd reading: 8.16	
yes	yes	yes	no	no	96	R2RN	KAL	LH	MB	CH	RON	RON211104	2004	Oneloa Bay	2021-11-04	8:40	1	1	6	4	3					RON211104	26.1	35.4	6.69	102.1	8.20	1.23	1.63	1.29	1.38	0.156				N	0	0	0	2nd salinity reading: 36.9	
yes	yes	yes	no	no	96	R2RN	KAL	LH	MB	CH	RFS	RFS211104	2005	Kapalua Bay	2021-11-04	9:05	1	1	6	4	3					RFS211104	26.3	35.0	6.71	102.7	8.17	3.43	3.26	4.01	3.57	0.110				N	4	9	0	salinity 2nd reading: 36.5	
yes	yes	yes	no	no	96	R2RN	KAL	LH	MB	CH	RKO	RKO211104	2008	Ka'opala Bay	2021-11-04	9:35	1	1	6	4	3					RKO211104	25.7	34.8	6.70	101.3	8.14	17.40	17.00	16.80	17.07	0.018				N	0	0	0	2nd salinity reading: 36.2	
yes	yes	yes	no	no	96	R2RN	KAL	LH	MB	CH	RKV	RKV211104	2074	Kahana Village	2021-11-04	9:55	1	1	6	4	3					RKV211104	26.3	35.3	7.16	109.5	8.26	4.01	3.97	4.25	4.08	0.037				N	1	4	0	2nd DO%: 109.4; water in stream, but not flowing to ocean; Rained last night in Kahana and drizzled throughout the sampling morning all over	
yes	yes	yes	no	no	97	R2RN	KAL	LH	NS	CH	RHL	RHL211202	2001	Honolua Bay	2021-12-02	7:55	2	NBBF	6	4	4					RHL211202	24.2	34.2	6.59	95.5	8.19	6.02	5.93	6.65	6.20	0.063				N	0	0	0	rained last night, river flowing	
yes	yes	yes	no	no	97	R2RN	KAL	LH	NS	CH	RON	RON211202	2004	Oneloa Bay	2021-12-02	8:32	2	NBBF	6	4	4					RON211202	25.6	35.6	6.74	101.1	8.20	0.77	0.67	0.65	0.70	0.092				N	0	3	0	4 dogs on beach, rougher conditions	
yes	yes	yes	no	no	97	R2RN	KAL	LH	NS	CH	RFS	RFS211202	2005	Kapalua Bay	2021-12-02	9:00	2	NBBF	6	4	4					RFS211202	25.6	35.1	6.67	99.6	8.12	3.32	3.09	3.11	3.17	0.040				N	3	8	0	smells like sunscreen, pretty calm conditions	
yes	yes	yes	no	no	97	R2RN	KAL	LH	NS	CH	RKO	RKO211202	2008	Ka'opala Bay	2021-12-02	9:28	2	NBBF	6	4	4					RKO211202	25.1	34.7	6.41	94.7	8.10	5.45	5.16	5.06	5.22	0.039				N	0	1	0	pretty calm, small waves, looked a little clearer today. bad smell going down the steps, but beach smelled fine. 	
yes	yes	yes	no	no	97	R2RN	KAL	LH	NS	CH	RKV	RKV211202	2074	Kahana Village	2021-12-02	9:46	2	NBBF	6	4	4					RKV211202	25.6	34.9	6.87	102.2	8.14	5.39	5.75	4.38	5.17	0.137				N	0	1	0	calm conditions, small waves	
yes	yes	yes	no	no	98	R2RN	KAL	LH	NS		RHL	RHL211230	2001	Honolua Bay	2021-12-30	7:58	1	1	7	4	3					RHL211230	22.9	24.3	7.18	96.6	8.13	4.20	4.02	4.22	4.15	0.027				Y	0	0	0	calm, debris still on beach and in water, 4th turbidity 4.20. Did not notice the low salinity until after we left the site. 	
yes	yes	yes	no	no	98	R2RN	KAL	LH	NS		RON	RON211230	2004	Oneloa Bay	2021-12-30	8:35	1	1	7	4	3					RON211230	24.0	35.5	6.96	102.0	8.13	0.75	0.66	0.65	0.69	0.080				N	0	0	0	started lightly raining on way back to car,  rough shore break, surfers further. out 	
yes	yes	yes	no	no	98	R2RN	KAL	LH	NS		RFS	RFS211230	2005	Kapalua Bay	2021-12-30	9:00	1	1	7	4	3					RFS211230	24.0	34.4	6.87	100.3	8.07	2.72	2.25	2.43	2.47	0.096				N	10	9	0	sun trying to come. out 	
yes	yes	yes	no	no	98	R2RN	KAL	LH	NS		RKO	RKO211230	2008	Ka'opala Bay	2021-12-30	9:25	1	1	7	4	3					RKO211230	24.0	34.5	6.85	99.8	8.09	10.70	10.30	9.72	10.24	0.048				N	0	0	0	little swell 	
yes	yes	yes	no	no	98	R2RN	KAL	LH	NS		RKV	RKV211230	2074	Kahana Village	2021-12-30	9:45	1	1	7	4	3					RKV211230	24.2	34.9	7.18	105.2	8.14	6.82	6.99	6.36	6.72	0.048				Y	0	0	0	slight swell rolling in, river is very brown	
yes	yes	yes	no	no	99	R2RN	KAL	LH	LB	CH	RHL	RHL220120	2001	Honolua Bay	2022-01-20	7:55	2	NBBF	6	4	4					RHL220120	23.2	35.5	6.67	95.9	8.16	5.88	4.61	6.39	5.63	0.163				N	0	0	0	read salinity twice at 35.5, replaced turbidity with 4th reading	
yes	yes	yes	no	no	99	R2RN	KAL	LH	LB	CH	RON	RON220120	2004	Oneloa Bay	2022-01-20	8:40	2	NBBF	6	4	4					RON220120	24.5	35.9	6.93	102.2	8.21	0.56	0.60	0.69	0.62	0.108				N	1	2	0		
yes	yes	yes	no	no	99	R2RN	KAL	LH	LB	CH	RFS	RFS220120	2005	Kapalua Bay	2022-01-20	9:05	2	NBBF	6	4	4					RFS220120	24.6	35.4	6.78	99.9	8.13	2.27	2.00	2.21	2.16	0.066				N	3	7	0		
yes	yes	yes	no	no	99	R2RN	KAL	LH	LB	CH	RKO	RKO220120	2008	Ka'opala Bay	2022-01-20	9:27	2	NBBF	6	4	4					RKO220120	24.3	35.3	6.74	98.6	8.13	11.40	11.10	11.30	11.27	0.014				N	0	0	0		
yes	yes	yes	no	no	99	R2RN	KAL	LH	LB	CH	RKV	RKV220120	2074	Kahana Village	2022-01-20	9:42	2	NBBF	6	4	4					RKV220120	24.7	35.1	6.72	98.8	8.15	5.58	5.95	6.13	5.89	0.048				N	2	4	0	replaced turbidity with 4th reading	
yes	yes	yes	no	no	100	R2RN	KAL	LH	NS	CH	RHL	RHL220210	2001	Honolua Bay	2022-02-10	7:50	1	NBBF	7	1	3					RHL220210	22.2	34.6	6.53	91.5	8.13	1.57	1.31	1.22	1.37	0.133				N	0	4	0	very calm conditions, clear, no debris, no surf *a resident stopped us (Vic Yannco) to say he noties really big runoff at alaeloa especially after mauka events and rain. He said specifically when Napili Market repaved the parking lot and then it rained, and all that debris came down the storm drain into alaeloa. Interested to see if that would be somewhere to sample.  	
yes	yes	yes	no	no	100	R2RN	KAL	LH	NS	CH	RON	RON220210	2004	Oneloa Bay	2022-02-10	8:30	1	NBBF	7	1	3					RON220210	23.7	35.5	7.01	101.4	8.17	0.55	0.60	0.58	0.58	0.044				N	4	1	0	2ft waves breaking on shore, turtle resting on the beach	
yes	yes	yes	no	no	100	R2RN	KAL	LH	NS	CH	RFS	RFS220210	2005	Kapalua Bay	2022-02-10	8:55	1	NBBF	7	1	3					RFS220210	24.2	34.9	6.51	94.7	8.12	1.36	1.05	1.17	1.19	0.131				N	8	20	0	calm water, lots of people	
yes	yes	yes	no	no	100	R2RN	KAL	LH	NS	CH	RKO	RKO220210	2008	Ka'opala Bay	2022-02-10	9:25	1	NBBF	7	1	3					RKO220210	23.7	34.6	6.60	94.9	8.11	4.84	5.18	5.00	5.01	0.034				N	1	2	0	calm, slightly murky, not so much debris floating like usual, pH reading was from DO probe, 2nd reading correct	
yes	yes	yes	no	no	100	R2RN	KAL	LH	NS	CH	RKV	RKV220210	2074	Kahana Village	2022-02-10	9:41	1	NBBF	7	1	3					RKV220210	24.1	34.5	6.77	97.9	8.09	2.89	2.49	2.63	2.67	0.076				N	1	1	0	calm, small waves, family at south end of beach, walked passed by at the end of sampling	
yes	yes	yes	no	no	101	R2RN	KAL	LH	LB		RHL	RHL220303	2001	Honolua Bay	2022-03-03	8:05	2	NBBF	6	4	4					RHL220303	23.2	35.3	6.55	94.0	8.20	2.73	1.86	2.53	2.37	0.192				N	1	1	0	calm conditions; took 5 turbidity readings (unused readings: 1.78 and 2.41 NTU)	
yes	yes	yes	no	no	101	R2RN	KAL	LH	LB	CH	RON	RON220303	2004	Oneloa Bay	2022-03-03	8:45	2	NBBF	6	4	4					RON220303	24.6	35.8	6.84	101.0	8.19	0.57	0.62	0.71	0.63	0.112				N	0	0	0	calm wind; surf small	
yes	yes	yes	no	no	101	R2RN	KAL	LH	LB	CH	RFS	RFS220303	2005	Kapalua Bay	2022-03-03	9:15	2	NBBF	6	4	4					RFS220303	24.7	34.4	6.71	98.5	8.11	2.53	2.25	2.11	2.30	0.093				N	6	21	0		
yes	yes	yes	no	no	101	R2RN	KAL	LH	LB	CH	RKO	RKO220303	2008	Ka'opala Bay	2022-03-03	9:35	2	NBBF	6	4	4					RKO220303	24.7	35.2	6.40	94.3	8.10	6.58	6.53	6.56	6.56	0.004				N	0	1	0		
yes	yes	yes	no	no	101	R2RN	KAL	LH	LB	CH	RKV	RKV220303	2074	Kahana Village	2022-03-03	9:53	2	NBBF	6	4	4					RKV220303	25.3	35.0	6.70	99.5	8.13	4.73	4.89	4.55	4.72	0.036				N	2	10	0	unused turbidity reading: 3.51 NTU; redid nutrient sample since the 1st sample was only ~50 mL (used new syringe and filter bottle)	
yes	yes	yes	no	no	102	R2RN	KAL	LB	NS	CH	RHL	RHL220324	2001	Honolua Bay	2022-03-24	7:50	1	2	7	2	3					RHL220324	23.4	33.2	6.87	97.3	8.11	74.90	66.80	79.60	73.77	0.088				Y	0	0	0	river running heavy; brown water, debris	
yes	yes	yes	no	no	102	R2RN	KAL	LB	NS	CH	RON	RON220324	2004	Oneloa Bay	2022-03-24	8:26	1	2	7	2	3					RON220324	24.2	35.8	6.93	101.3	8.16	1.02	0.97	0.99	0.99	0.025				N	2	3	0	high surf, but relatively clear	
yes	yes	yes	no	no	102	R2RN	KAL	LB	NS	CH	RFS	RFS220324	2005	Kapalua Bay	2022-03-24	8:50	1	2	7	2	3					RFS220324	24.4	34.3	6.93	100.6	8.12	3.11	3.72	3.73	3.52	0.101				N	5	15	0	clearer, pretty calm, lots of people on beach	
yes	yes	yes	no	no	102	R2RN	KAL	LB	NS	CH	RKO	RKO220324	2008	Ka'opala Bay	2022-03-24	9:14	1	2	7	2	3					RKO220324	23.8	34.7	6.88	99.0	8.08	12.40	11.30	12.10	11.93	0.048				N	0	0	0	murky, mostly calm,  small swell 	
yes	yes	yes	no	no	102	R2RN	KAL	LB	NS	CH	RKV	RKV220324	2074	Kahana Village	2022-03-24	9:31	1	2	7	2	3					RKV220324	24.4	34.8	7.08	103.1	8.17	9.53	9.60	8.49	9.21	0.068				N	1	5	0	murky, lots of algae debris floating	
yes	yes	yes	no	no	103	R2RN	KAL	LB	LH		RHL	RHL220414	2001	Honolua Bay	2022-04-14	8:00	1	NBBF	6	4	4					RHL220414	24.1	34.6	6.30	91.9	8.14	2.01	2.44	2.29	2.25	0.097				N	0	12	0	presample blank second reading 0.10	
yes	yes	yes	no	no	103	R2RN	KAL	LB	LH		RON	RON220414	2004	Oneloa Bay	2022-04-14	8:40	1	NBBF	6	4	4					RON220414	24.4	36.0	6.78	99.8	8.17	0.72	0.71	0.69	0.71	0.022				N	1	2	0	calm conditions	
yes	yes	yes	no	no	103	R2RN	KAL	LB	LH		RFS	RFS220414	2005	Kapalua Bay	2022-04-14	9:00	1	NBBF	6	4	4					RFS220414	25.2	35.9	6.18	91.8	8.10	0.87	0.97	1.10	0.98	0.118				N	14	46	0	windy, small waves	
yes	yes	yes	no	no	103	R2RN	KAL	LB	LH		RKO	RKO220414	2008	Ka'opala Bay	2022-04-14	9:30	1	NBBF	6	4	4					RKO220414	25.2	35.2	6.37	94.2	8.10	3.60	3.68	3.82	3.70	0.030				N	3	3	0	calm ocean, crowded beach	
yes	yes	yes	no	no	103	R2RN	KAL	LB	LH		RKV	RKV220414	2074	Kahana Village	2022-04-14	9:50	1	NBBF	6	4	4					RKV220414	25.4	35.1	6.82	101.2	8.15	2.18	1.90	1.96	2.01	0.073				N	0	0	0		
yes	yes	yes	no	no	104	R2RN	KAL	LB	NS		RHL	RHL220505	2001	Honolua Bay	2022-05-05	8:01	1	1	7	1	3					RHL220505	23.5	30.9	6.85	92.1	8.06	167.00	149.00	170.00	162.00	0.070				Y	0	0	0	stream running, raining, lots of large debris floating in water	
yes	yes	yes	no	no	104	R2RN	KAL	LB	NS	CH	RON	RON220505	2004	Oneloa Bay	2022-05-05	8:36	1	1	7	1	3					RON220505	24.2	35.5	6.92	100.8	8.15	0.88	0.95	0.94	0.92	0.041				N	0	0	0	rain	
yes	yes	yes	no	no	104	R2RN	KAL	LB	NS	CH	RFS	RFS220505	2005	Kapalua Bay	2022-05-05	9:02	1	1	7	1	3					RFS220505	24.3	34.1	6.93	100.2	8.12	5.13	4.37	4.71	4.74	0.080				N	16	12	0	4th turbidity taken, rain	
yes	yes	yes	no	no	104	R2RN	KAL	LB	NS	CH	RKO	RKO220505	2008	Ka'opala Bay	2022-05-05	9:26	1	1	7	1	3					RKO220505	24.5	34.1	6.99	101.3	8.12	17.30	16.60	15.90	16.60	0.042				N	0	0	0	rain	
yes	yes	yes	no	no	104	R2RN	KAL	LB	NS	CH	RKV	RKV220505	2074	Kahana Village	2022-05-05	9:43	1	1	7	1	3					RKV220505	25.0	34.4	7.48	109.6	8.18	6.55	6.28	6.16	6.33	0.032				N	0	4	0	2 backhoes taking out the naupaka, dune restoration will be planting pōhuehue and 'aki'aki grass instead of naupaka. Vares Contracting. A tenant said strong stream runoff few days prior-lots of debris and brown water	
yes	yes	yes	no	no	105	R2RN	KAL	LB	LH		RHL	RHL220526	2001	Honolua Bay	2022-05-26	7:55	1	NBBF	6	4	4					RHL220526	23.8	33.3	6.12	87.8	8.13	9.07	9.62	9.01	9.23	0.036				N	2	10	0	calm conditions, no waves, lost of rocks at shoreline	low turbidity standard was really low in post lab, but we cleaned it and got it up to 5.97 NTU (was reading ~ 5.45 NTU)
yes	yes	yes	no	no	105	R2RN	KAL	LB	LH		RON	RON220526	2004	Oneloa Bay	2022-05-26	8:35	1	NBBF	6	4	4					RON220526	24.3	35.7	6.83	100.2	8.22	0.69	0.62	0.60	0.64	0.074				N	2	0	0	small waves	
yes	yes	yes	no	no	105	R2RN	KAL	LB	LH		RFS	RFS220526	2005	Kapalua Bay	2022-05-26	9:00	1	NBBF	6	4	4					RFS220526	24.6	35.5	6.33	93.2	8.15	1.76	2.04	2.20	2.00	0.111				N	20	34	0	4th turbidity: 1.88; small shore break; swimmers near test site; HQ40d issues; turbidity meter "READ" button getting hard to press	
yes	yes	yes	no	no	105	R2RN	KAL	LB	LH		RKO	RKO220526	2008	Ka'opala Bay	2022-05-26	9:30	1	NBBF	6	4	4					RKO220526	24.8	34.6	6.48	95.3	8.15	8.08	8.18	8.82	8.36	0.048				N	0	2	0		
yes	yes	yes	no	no	105	R2RN	KAL	LB	LH		RKV	RKV220526	2074	Kahana Village	2022-05-26	9:45	1	NBBF	6	4	4					RKV220526	24.4	34.9	5.78	84.7	8.08	6.22	5.46	5.26	5.65	0.090				N	0	0	0	4th turbidity: 4.78; 5th: 4.89; cannot read last note about taking 2 readings	
yes	yes	yes	no	no	106	R2RN	KAL-2	LB	MB	LY	RHL	RHL220616	2001	Honolua Bay	2022-06-16	8:12	HQ2200 - 3	1	7	1	3					RHL220616	24.9	34.4	#N/A	#N/A	8.07	19.80	20.10	22.10	20.67	0.060				N	6	3	0	calm, lots of fish near sampling; King Tide earlier this week June 14-15	
yes	yes	yes	no	no	106	R2RN	KAL-2	LB	MB	LY	RON	RON220616	2004	Oneloa Bay	2022-06-16	8:47	HQ2200 - 3	1	7	1	3					RON220616	25.6	35.3	#N/A	#N/A	8.19	0.53	0.49	0.42	0.48	0.116				N	0	2	0	Rain in the early morning; super low tide; King Tide earlier this week June 14-15	
yes	yes	yes	no	no	106	R2RN	KAL-2	LB	MB	LY	RFS	RFS220616	2005	Kapalua Bay	2022-06-16	9:12	HQ2200 - 3	1	7	1	3					RFS220616	25.9	35.4	#N/A	#N/A	8.08	1.04	1.06	1.30	1.13	0.128				N	23	26	0	3 SUPs further out; Checked ppt a 2nd time - also 35.4 ppt; King Tide earlier this week June 14-15	
yes	yes	yes	no	no	106	R2RN	KAL-2	LB	MB	LY	RKO	RKO220616	2008	Ka'opala Bay	2022-06-16	9:39	HQ2200 - 3	1	7	1	3					RKO220616	26.1	34.9	#N/A	#N/A	8.09	1.45	1.71	1.70	1.62	0.091				N	0	6	0	King Tide earlier this week June 14-15	
yes	yes	yes	no	no	106	R2RN	KAL-2	LB	MB	LY	RKV	RKV220616	2074	Kahana Village	2022-06-16	9:57	HQ2200 - 3	1	7	1	3					RKV220616	25.9	35.0	#N/A	#N/A	8.17	1.65	1.69	1.85	1.73	0.061				N	0	0	0	Stream has been blocked due to dredging; King Tide earlier this week June 14-15	
yes	yes	yes	no	no	107	R2RN	KAL-2	LH	LY		RHL	RHL220707	2001	Honolua Bay	2022-07-07	8:15	HQ2200 - 4	NBBF	6	4	4					RHL220707	25.7	34.5	5.70	84.7	8.08	2.11	2.39	2.29	2.26	0.063				N	0	8	0	Did multiple Turbidity pre-sample verificaiton reads and both the sample cell and the spare read high despite multiple reading and troubleshooting. RHL - calm, looked clear; 3 DO Saturation readings consistent at 84.7	
yes	yes	yes	no	no	107	R2RN	KAL-2	LH	LY	CH	RON	RON220707	2004	Oneloa Bay	2022-07-07	9:05	HQ2200 - 4	NBBF	6	4	4					RON220707	26.5	35.7	6.62	100.6	8.17	1.12	1.30	1.18	1.20	0.076				N	0	0	0	Small swell, sunny, light wind	
yes	yes	yes	no	no	107	R2RN	KAL-2	LH	LY	CH	RFS	RFS220707	2005	Kapalua Bay	2022-07-07	9:35	HQ2200 - 4	NBBF	6	4	4					RFS220707	27.0	34.5	6.48	98.4	8.07	1.81	1.75	2.06	1.87	0.088				N	11	35	0	calm, clear, sunny	
yes	yes	yes	no	no	107	R2RN	KAL-2	LH	LY	CH	RKO	RKO220707	2008	Ka'opala Bay	2022-07-07	10:05	HQ2200 - 4	NBBF	6	4	4					RKO220707	27.0	35.3	6.08	92.7	8.07	5.61	6.36	6.19	6.05	0.065				N	0	0	0	calm	
yes	yes	yes	no	no	107	R2RN	KAL-2	LH	LY	CH	RKV	RKV220707	2074	Kahana Village	2022-07-07	10:35	HQ2200 - 4	NBBF	6	4	4					RKV220707	26.9	35.2	6.43	98.0	8.06	9.75	12.70	10.50	10.98	0.140				N	1	0	0	light wind; some showers earlier this week	
yes	yes	yes	no	no	108	R2RN	KAL-2	LH	LY	KG	RHL	RHL220728	2001	Honolua Bay	2022-07-28	8:05	HQ2200 - 3	1	7	4	3					RHL220728	25.1	34.8	5.69	84.0	8.08	3.78	3.82	4.17	3.92	0.055				N	5	11	0	4th turbidity read taken; 2nd read for DO was consistent; calm waters	
yes	yes	yes	no	no	108	R2RN	KAL-2	LH	LY	KG	RON	RON220728	2004	Oneloa Bay	2022-07-28	8:47	HQ2200 - 3	1	7	4	3					RON220728	25.9	35.4	6.82	102.7	8.18	0.73	0.93	0.81	0.82	0.122				N	0	2	0	some small shorebreak; sunny	
yes	yes	yes	no	no	108	R2RN	KAL-2	LH	LY	KG	RFS	RFS220728	2005	Kapalua Bay	2022-07-28	9:16	HQ2200 - 3	1	7	4	3					RFS220728	26.4	32.2	6.56	97.7	8.08	1.90	1.91	1.70	1.84	0.064				N	24	45	0	4th turbidity read taken	
yes	yes	yes	no	no	108	R2RN	KAL-2	LH	MS	KG	RKO	RKO220728	2008	Ka'opala Bay	2022-07-28	10:05	HQ2200 - 3	1	7	4	3					RKO220728	25.9	34.4	6.75	100.9	8.18	7.82	7.64	8.26	7.91	0.040				N	0	2	0	water appeared brown at the wave break out on the reef	
yes	yes	yes	no	no	108	R2RN	KAL-2	LH	MS	KG	RKV	RKV220728	2074	Kahana Village	2022-07-28	10:30	HQ2200 - 3	1	7	4	3					RKV220728	26.0	34.7	6.49	97.2	8.07	4.45	4.42	4.83	4.57	0.050				N	5	2	0	4th turbidity read taken	
yes	yes	yes	no	no	109	R2RN	KAL-2	LH	LB		RHL	RHL220818	2001	Honolua Bay	2022-08-18	8:00	HQ2200 - 4	1	6	4	4					RHL220818	26.3	35.3	6.06	91.3	8.14	1.09	1.20	1.26	1.18	0.073				N	0	5	0	4th turbidity reading 1.51; glass vial wet after it was taken out of hatch.	
yes	yes	yes	no	no	109	R2RN	KAL-2	LH	LB	CH	RON	RON220818	2004	Oneloa Bay	2022-08-18	8:34	HQ2200 - 4	1	6	4	4					RON220818	26.7	35.7	6.74	102.6	8.14	1.75	1.78	1.84	1.79	0.026				N	4	2	0		
yes	yes	yes	no	no	109	R2RN	KAL-2	LY	LB	CH	RFS	RFS220818	2005	Kapalua Bay	2022-08-18	8:58	HQ2200 - 4	1	6	4	4					RFS220818	27.4	35.6	6.38	98.2	8.10	1.44	1.57	1.71	1.57	0.086				N	28	26	0		
yes	yes	yes	no	no	109	R2RN	KAL-2	LY	LB	CH	RKO	RKO220818	2008	Ka'opala Bay	2022-08-18	9:24	HQ2200 - 4	1	6	4	4					RKO220818	27.2	35.6	6.25	95.9	8.10	6.60	6.07	6.15	6.27	0.046				N	1	0	0	4th turbidity reading taken.	
yes	yes	yes	no	no	109	R2RN	KAL-2	LY	LB	CH	RKV	RKV220818	2074	Kahana Village	2022-08-18	9:50	HQ2200 - 4	1	6	4	4					RKV220818	27.6	35.6	6.10	94.1	8.08	7.67	6.95	7.13	7.25	0.052				N	2	2	0	Difficult to see potential freshwater because of road construction nut locals say no recent rain. POST-SAMPLE: 1st low post-sample turbidity read = 5.59 NTU and 2nd = 5.71 NTU. 1st post-sample turbidity blank = 0.13 NTU. and 2nd = 0.09 NTU. 	
yes	yes	yes	no	no	110	R2RN	KAL-2	LH	LB		RHL	RHL220908	2001	Honolua Bay	2022-09-08	8:05	HQ2200 - 3	1	7	1	3					RHL220908	25.2	34.4	6.02	89.0	8.10	1.31	1.32	1.47	1.37	0.066				N	2	9	0	Calm conditions, then rain. 4th turbidity = 1.87 NTU (did not replace). *Turbidity pre-sample blank = 0.15 and 0.17 (wiped with cloth); Spare = 0.24 and 0.27 NTU	
yes	yes	yes	no	no	110	R2RN	KAL-2	LH	LB	CH	RON	RON220908	2004	Oneloa Bay	2022-09-08	8:40	HQ2200 - 3	1	7	1	3					RON220908	26.4	35.9	6.59	100.3	8.16	0.92	0.88	0.78	0.86	0.084				N	0	0	0	Small waves	
yes	yes	yes	no	no	110	R2RN	KAL-2	LH	LB	CH	RFS	RFS220908	2005	Kapalua Bay	2022-09-08	9:05	HQ2200 - 3	1	7	1	3					RFS220908	27.3	35.7	5.82	89.5	8.07	1.47	1.64	1.58	1.56	0.055				N	10	35	0	"Covid breach. Visitor invaded space while collecting samples while rinsing self."	
yes	yes	yes	no	no	110	R2RN	KAL-2	LH	LB	CH	RKO	RKO220908	2008	Ka'opala Bay	2022-09-08	9:29	HQ2200 - 3	1	7	1	3					RKO220908	27.2	35.1	6.33	97.2	8.11	7.07	7.25	7.06	7.13	0.015				N	0	0	0	No stream flow	
yes	yes	yes	no	no	110	R2RN	KAL-2	LH	LB	CH	RKV	RKV220908	2074	Kahana Village	2022-09-08	9:54	HQ2200 - 3	1	7	1	3					RKV220908	27.5	35.3	6.07	93.7	8.13	6.00	7.14	6.70	6.61	0.087					0	0	0	Bridge/road still closed so can't tell is there's water in stream. 4th turbidity taken.	
yes	yes	yes	no	no	111	R2RN	KAL-2	LH	LB		RHL	RHL220929	2001	Honolua Bay	2022-09-29	7:55	HQ2200 - 4	1	6	4	4					RHL220929	25.9	34.8	6.32	94.1	8.21	1.35	1.62	1.53	1.50	0.092				N	2	6	0	Pre-sampling turbidity blank reading 0.33 NTU after cleaning. Switched to Spare (0.08 NTU) for the field. Raining. 4th turbidity read taken.	
yes	yes	yes	no	no	111	R2RN	KAL-2	LH	LB		RON	RON220929	2004	Oneloa Bay	2022-09-29	8:30	HQ2200 - 4	1	6	4	4					RON220929	26.1	35.7	6.74	101.5	8.23	1.05	1.28	1.18	1.17	0.099				N	0	0	0	Raining, very windy while sampling, waves	
yes	yes	yes	no	no	111	R2RN	KAL-2	LH	LB		RFS	RFS220929	2005	Kapalua Bay	2022-09-29	8:55	HQ2200 - 4	1	6	4	4					RFS220929	26.8	35.7	6.48	98.4	8.16	2.93	2.15	2.19	2.42	0.181				N	7	15	0		
yes	yes	yes	no	no	111	R2RN	KAL-2	LH	LB		RKO	RKO220929	2008	Ka'opala Bay	2022-09-29	9:25	HQ2200 - 4	1	6	4	4					RKO220929	26.8	35.6	6.19	94.0	8.13	5.18	4.89	4.89	4.99	0.034				N	0	1	0		
yes	yes	yes	no	no	111	R2RN	KAL-2	LH	LB	LY	RKV	RKV220929	2074	Kahana Village	2022-09-29	9:52	HQ2200 - 4	1	6	4	4					RKV220929	26.9	35.1	6.21	94.2	8.13	31.10	36.70	33.60	33.80	0.083				N	0	0	0	Raining, calm water, 4th turbidity read taken. Lisa checked the stream and sand bags are set up to prevent stream flow while nearby road work is being done. 	
